25/05/2022 17.16.03 ;0
26/05/2022 11.04.38 ;0
26/05/2022 17.44.56 ;0
27/05/2022 08.48.34 ;0
27/05/2022 17.32.36 ;0
08/06/2022 15.50.14 ;0
21/06/2022 11.02.09 ;0
22/06/2022 11.59.40 ;0
23/06/2022 14.38.32 ;0
24/06/2022 09.44.34 ;0
26/06/2022 14.08.22 ;0
27/06/2022 09.40.56 ;0
28/06/2022 10.08.15 ;0
01/07/2022 11.35.48 ;0
04/07/2022 10.50.23 ;1;0
05/07/2022 14.22.19 ;1;1
