28/06/2022 15.50.25 START |          | SIMPLE MISSION                  | 128|   N  |
28/06/2022 15.55.53 START |          | SIMPLE MISSION                  | 128|   N  |
28/06/2022 15.56.14 START |          | SIMPLE MISSION                  | 128|   N  |
28/06/2022 16.00.07 START |          | SIMPLE MISSION                  | 128|   N  |
28/06/2022 16.07.40 START |          | SIMPLE MISSION                  | 128|   N  |
28/06/2022 16.08.14 START |          | SIMPLE MISSION                  | 128|   N  |
28/06/2022 16.15.21 START |          | SIMPLE MISSION                  | 128|   N  |
28/06/2022 16.47.18 START |          | SIMPLE MISSION                  | 118|   N  |
28/06/2022 16.50.13 END   |          | SIMPLE MISSION                  | 118|   N  |
28/06/2022 16.50.49 START |BAIA01    | SIMPLE MISSION                  | 143|   N  |
28/06/2022 17.08.15 START |          | SIMPLE MISSION                  | 128|   N  |
28/06/2022 17.09.13 START |          | SIMPLE MISSION                  | 128|   N  |
28/06/2022 17.10.54 START |          | SIMPLE MISSION                  | 128|   N  |
28/06/2022 17.11.45 START |          | SIMPLE MISSION                  | 118|   N  |
28/06/2022 17.12.57 START |          | SIMPLE MISSION                  | 128|   N  |
28/06/2022 17.15.52 END   |          | SIMPLE MISSION                  | 128|   N  |
28/06/2022 17.16.07 START |          | SIMPLE MISSION                  | 233|   N  |
28/06/2022 17.30.39 START |          | SIMPLE MISSION                  | 234|   N  |
28/06/2022 17.33.17 START |          | SIMPLE MISSION                  | 234|   N  |
28/06/2022 17.33.46 START |          | SIMPLE MISSION                  | 234|   N  |
28/06/2022 17.36.51 START |          | SIMPLE MISSION                  | 234|   N  |
28/06/2022 17.39.30 START |          | SIMPLE MISSION                  | 234|   N  |
28/06/2022 17.39.59 START |          | SIMPLE MISSION                  | 234|   N  |
28/06/2022 17.40.35 START |          | SIMPLE MISSION                  | 128|   N  |
28/06/2022 17.41.18 END   |          | SIMPLE MISSION                  | 128|   N  |
01/07/2022 11.37.56 START |BAIA01    | SIMPLE MISSION                  | 143|   N  |
01/07/2022 11.38.44 END   |BAIA01    | SIMPLE MISSION                  | 143|   N  |
01/07/2022 11.41.20 START |          | SIMPLE MISSION                  | 114|   N  |
01/07/2022 11.41.43 END   |          | SIMPLE MISSION                  | 114|   N  |
01/07/2022 11.42.21 START |          | SIMPLE MISSION                  | 239|   N  |
