24/06/2022 09.58.28 PC01 00   (TGVSPEC) - Start del software
24/06/2022 09.59.44 PC01 00   (TGVSPEC) - Close del software
24/06/2022 11.53.50 PC01 00   (TGVSPEC) - Start del software
24/06/2022 11.54.26 PC01 00   (TGVSPEC) - Close del software
24/06/2022 11.56.21 PC01 00   (TGVSPEC) - Start del software
24/06/2022 11.57.04 PC01 00   (TGVSPEC) - Close del software
24/06/2022 11.57.23 PC01 00   (TGVSPEC) - Start del software
24/06/2022 11.58.50 PC01 00   (TGVSPEC) - Close del software
24/06/2022 11.59.49 PC01 00   (TGVSPEC) - Start del software
24/06/2022 12.05.26 PC01 00   (TGVSPEC) - Start del software
24/06/2022 12.09.30 PC01 00   (TGVSPEC) - Close del software
24/06/2022 16.19.34 PC01 00   (TGVSPEC) - Start del software
24/06/2022 16.21.12 PC01 00   (TGVSPEC) - Start del software
24/06/2022 16.23.31 PC01 00   (TGVSPEC) - Close del software
24/06/2022 16.24.09 PC01 00   (TGVSPEC) - Start del software
24/06/2022 17.06.44 PC01 00   (TGVSPEC) - Start del software
24/06/2022 17.07.48 PC01 00   (TGVSPEC) - Close del software
24/06/2022 17.15.39 PC01 00   (TGVSPEC) - Start del software
24/06/2022 17.17.56 PC01 00   (TGVSPEC) - Start del software
24/06/2022 17.19.21 PC01 00   (TGVSPEC) - Start del software
24/06/2022 17.20.11 PC01 00   (TGVSPEC) - Close del software
24/06/2022 17.20.36 PC01 00   (TGVSPEC) - Start del software
24/06/2022 17.21.17 PC01 00   (TGVSPEC) - Close del software
24/06/2022 17.24.55 PC01 00   (TGVSPEC) - Start del software
24/06/2022 17.27.36 PC01 00   (TGVSPEC) - Start del software
24/06/2022 17.28.39 PC01 00   (TGVSPEC) - Close del software
24/06/2022 17.29.29 PC01 00   (TGVSPEC) - Start del software
24/06/2022 18.00.39 PC01 00   (TGVSPEC) - Start del software
24/06/2022 18.18.05 PC01 00   (TGVSPEC) - Close del software
24/06/2022 18.18.42 PC01 00   (TGVSPEC) - Start del software
24/06/2022 18.19.29 PC01 00   (SEMIAUT) - Missioni in semiautomatico
24/06/2022 18.20.55 PC01 00   (SEMIAUT) - Missioni in semiautomatico
24/06/2022 18.24.16 PC01 00   (TGVSPEC) - Start del software
24/06/2022 18.24.41 PC01 00   (SEMIAUT) - Missioni in semiautomatico
24/06/2022 18.26.13 PC01 00   (TGVSPEC) - Start del software
24/06/2022 18.26.34 PC01 00   (RES_MIS) - Reset missione Tgv1
24/06/2022 18.26.34 PC01 00   (RES_CH ) - Reset chiamata Tgv1
24/06/2022 18.26.38 PC01 00   (EDITTGV) - Modifica dati TGV1
24/06/2022 18.26.43 PC01 00   (SEMIAUT) - Missioni in semiautomatico
24/06/2022 18.27.02 PC01 00   (RES_MIS) - Reset missione Tgv1
24/06/2022 18.27.02 PC01 00   (RES_CH ) - Reset chiamata Tgv1
24/06/2022 18.27.09 PC01 00   (EDITTGV) - Modifica dati TGV1
24/06/2022 18.27.14 PC01 00   (EDITTGV) - Modifica dati TGV1
24/06/2022 18.27.21 PC01 00   (SEMIAUT) - Missioni in semiautomatico
26/06/2022 14.05.18 PC01 00   (TGVSPEC) - Start del software
26/06/2022 14.06.16 PC01 00   (RES_MIS) - Reset missione Tgv1
26/06/2022 14.06.16 PC01 00   (RES_CH ) - Reset chiamata Tgv1
26/06/2022 14.06.22 PC01 00   (EDITTGV) - Modifica dati TGV1
26/06/2022 14.06.27 PC01 00   (SEMIAUT) - Missioni in semiautomatico
26/06/2022 14.12.10 PC01 00   (RES_MIS) - Reset missione Tgv1
26/06/2022 14.12.10 PC01 00   (RES_CH ) - Reset chiamata Tgv1
26/06/2022 14.12.15 PC01 00   (EDITTGV) - Modifica dati TGV1
